# TESS ROOT MEAN SQUARE (RMS) COMBINED DIFFERENTIAL PHOTOMETRIC PRECISION (CDPP)
# Sector: 3;  Native Cadence: 2-min;  TPS Pipeline Instance: 405
#
# TESS Science Processing Operations Center
# NASA Ames Research Center
#
# Columns:
#     ticid - TIC Identifier (Stassun et al. 2018)
#     tmag - TESS Magnitude (Stassun et al. 2018)
#     rrmscdpp00p5 - Robust RMS CDPP (ppm) at 0.5 hr
#     rrmscdpp01p0 - Robust RMS CDPP (ppm) at 1.0 hr
#     rrmscdpp01p5 - Robust RMS CDPP (ppm) at 1.5 hr
#     rrmscdpp02p0 - Robust RMS CDPP (ppm) at 2.0 hr
#     rrmscdpp02p5 - Robust RMS CDPP (ppm) at 2.5 hr
#     rrmscdpp03p0 - Robust RMS CDPP (ppm) at 3.0 hr
#     rrmscdpp03p5 - Robust RMS CDPP (ppm) at 3.5 hr
#     rrmscdpp04p5 - Robust RMS CDPP (ppm) at 4.5 hr
#     rrmscdpp05p0 - Robust RMS CDPP (ppm) at 5.0 hr
#     rrmscdpp06p0 - Robust RMS CDPP (ppm) at 6.0 hr
#     rrmscdpp07p5 - Robust RMS CDPP (ppm) at 7.5 hr
#     rrmscdpp09p0 - Robust RMS CDPP (ppm) at 9.0 hr
#     rrmscdpp10p5 - Robust RMS CDPP (ppm) at 10.5 hr
#     rrmscdpp12p5 - Robust RMS CDPP (ppm) at 12.5 hr
#     rrmscdpp15p0 - Robust RMS CDPP (ppm) at 15.0 hr
#
# Generated on 04-Apr-2025 14:44:48 (Pacific)
#
ticid, tmag,rrmscdpp00p5,rrmscdpp01p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p5,rrmscdpp15p0
3804313,10.721,429.533,319.260,267.219,237.572,217.090,201.084,188.346,169.287,162.113,150.937,139.327,131.146,124.866,118.210,111.661
3804499,10.110,311.245,229.320,192.741,171.055,156.228,145.307,136.782,124.118,119.249,111.379,102.617,96.059,90.917,85.507,80.216
3804928,8.034,128.807,103.275,93.049,87.768,84.697,82.867,81.704,80.375,80.173,80.457,81.886,83.667,85.832,89.259,93.347
3805191,9.370,203.744,150.609,128.397,114.077,104.175,96.734,90.885,82.156,78.845,73.611,68.005,63.892,60.617,57.023,53.338
3805401,9.497,236.319,184.483,167.535,160.101,157.473,157.060,157.963,161.344,163.590,168.761,174.858,176.581,176.160,174.997,171.393
3805444,9.122,223.088,192.561,195.881,204.305,215.724,229.742,241.769,250.595,251.057,252.623,258.968,261.869,263.248,266.123,270.675
3805456,13.192,2440.814,1800.870,1478.644,1289.847,1165.325,1077.957,1014.894,927.958,894.983,840.520,775.936,726.241,687.858,649.517,614.933
3805766,10.009,512.536,362.453,295.958,256.263,230.079,211.176,196.830,176.242,168.558,156.351,143.156,133.598,126.205,118.431,110.853
3805996,8.881,189.088,158.942,151.727,150.598,151.548,153.116,153.755,151.383,149.822,147.939,147.725,148.135,149.406,152.700,158.474
3806094,10.594,407.948,293.739,243.133,214.881,196.071,181.857,170.426,153.006,146.208,135.190,122.899,113.734,106.645,99.409,92.774
3806602,8.743,162.523,115.662,99.976,89.860,83.022,78.016,74.152,68.379,66.128,62.425,58.129,54.821,52.267,49.727,47.431
3809763,10.105,351.336,260.474,221.898,203.435,192.257,183.569,176.512,165.982,162.314,157.625,155.129,155.460,157.148,159.881,162.348
3810130,10.755,466.685,358.227,296.138,260.105,233.490,212.342,195.384,169.715,159.993,144.850,129.214,118.582,110.997,103.932,98.285
3810543,9.957,285.232,207.277,175.630,155.337,141.282,131.232,123.481,111.974,107.458,99.844,90.916,84.134,78.999,74.025,69.780
3810734,6.380,72.219,62.309,56.130,54.889,54.272,53.660,53.396,53.082,53.125,53.653,55.157,56.780,58.539,61.003,63.450
3810779,12.710,1675.813,1199.682,988.177,864.747,779.585,714.356,662.147,583.727,553.727,506.256,455.533,419.699,393.181,367.222,344.424
3811238,10.433,871.097,724.411,698.816,689.240,689.842,699.490,705.800,703.941,699.784,695.854,695.227,691.785,691.258,701.095,726.588
3811504,9.778,256.285,180.314,144.112,123.647,110.925,100.568,92.350,80.184,75.590,68.439,60.968,55.790,52.003,48.308,45.107
3811573,11.376,655.821,491.661,424.224,379.548,347.634,322.817,302.568,271.060,258.659,238.728,216.736,200.380,187.653,174.526,162.422
3811891,10.152,309.239,222.194,184.528,162.140,147.623,137.269,129.606,118.779,114.638,107.694,99.412,92.978,88.000,83.062,78.694
3811994,6.903,79.740,60.894,52.379,47.783,44.530,42.452,41.065,39.430,38.947,38.253,37.564,37.097,36.875,36.924,37.246
3814749,9.728,1090.135,831.372,724.799,664.891,628.322,606.381,593.407,583.200,583.283,589.306,606.153,626.767,650.075,682.310,711.646
3814944,12.418,1538.224,1245.186,1157.338,1126.271,1122.018,1126.320,1134.796,1155.206,1167.684,1205.325,1276.442,1343.481,1411.318,1510.339,1619.764
3815360,8.557,156.007,118.420,104.988,96.394,91.025,87.164,84.246,79.737,77.985,74.960,71.125,67.780,65.040,62.271,59.767
3815555,13.990,3947.844,2840.803,2360.578,2055.085,1847.999,1695.821,1578.516,1405.002,1337.302,1226.045,1100.357,1008.644,940.809,875.894,820.572
3815618,8.168,147.607,139.749,148.576,158.381,166.346,175.571,182.870,186.926,185.659,184.880,186.519,186.996,186.906,186.819,186.545
3815678,10.409,369.279,280.099,238.160,211.416,192.331,178.509,168.003,152.730,146.897,137.550,127.159,119.371,113.198,106.597,100.083
3816082,9.622,243.798,176.507,152.659,137.209,127.044,119.888,114.527,107.189,104.684,101.368,99.145,98.908,99.925,102.464,106.620
3816118,6.459,77.052,61.936,55.683,52.411,51.039,50.698,51.094,53.261,54.794,58.287,63.012,65.983,68.244,71.918,76.765
