# TESS ROOT MEAN SQUARE (RMS) COMBINED DIFFERENTIAL PHOTOMETRIC PRECISION (CDPP)
# Sector: 2;  Native Cadence: 2-min;  TPS Pipeline Instance: 372
#
# TESS Science Processing Operations Center
# NASA Ames Research Center
#
# Columns:
#     ticid - TIC Identifier (Stassun et al. 2018)
#     tmag - TESS Magnitude (Stassun et al. 2018)
#     rrmscdpp00p5 - Robust RMS CDPP (ppm) at 0.5 hr
#     rrmscdpp01p0 - Robust RMS CDPP (ppm) at 1.0 hr
#     rrmscdpp01p5 - Robust RMS CDPP (ppm) at 1.5 hr
#     rrmscdpp02p0 - Robust RMS CDPP (ppm) at 2.0 hr
#     rrmscdpp02p5 - Robust RMS CDPP (ppm) at 2.5 hr
#     rrmscdpp03p0 - Robust RMS CDPP (ppm) at 3.0 hr
#     rrmscdpp03p5 - Robust RMS CDPP (ppm) at 3.5 hr
#     rrmscdpp04p5 - Robust RMS CDPP (ppm) at 4.5 hr
#     rrmscdpp05p0 - Robust RMS CDPP (ppm) at 5.0 hr
#     rrmscdpp06p0 - Robust RMS CDPP (ppm) at 6.0 hr
#     rrmscdpp07p5 - Robust RMS CDPP (ppm) at 7.5 hr
#     rrmscdpp09p0 - Robust RMS CDPP (ppm) at 9.0 hr
#     rrmscdpp10p5 - Robust RMS CDPP (ppm) at 10.5 hr
#     rrmscdpp12p5 - Robust RMS CDPP (ppm) at 12.5 hr
#     rrmscdpp15p0 - Robust RMS CDPP (ppm) at 15.0 hr
#
# Generated on 04-Apr-2025 14:44:42 (Pacific)
#
ticid, tmag,rrmscdpp00p5,rrmscdpp01p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p5,rrmscdpp15p0
2733208,8.068,121.375,89.552,76.968,69.489,64.110,60.501,57.716,53.592,52.074,49.568,46.802,44.791,43.351,42.083,41.146
2733409,7.574,104.873,81.738,71.324,66.142,63.907,62.204,61.055,59.724,59.355,59.034,58.815,58.498,58.317,58.383,58.504
2733520,9.286,213.874,161.988,137.196,121.789,110.269,102.646,96.789,88.102,84.461,78.687,71.835,66.517,62.395,58.232,54.386
2733611,11.189,572.175,415.356,343.079,297.831,268.297,245.894,228.792,204.275,195.194,181.210,166.795,156.867,149.449,141.850,134.802
2733720,12.387,1213.116,893.408,739.277,644.575,577.159,530.173,493.967,440.758,420.161,386.475,348.193,319.297,296.624,273.000,250.565
2758909,10.524,376.738,272.474,219.708,191.082,171.919,157.626,146.459,129.951,123.561,113.543,102.757,95.187,89.728,84.655,80.605
2758962,11.852,848.772,625.282,532.702,474.874,443.787,417.695,398.222,370.526,359.672,342.040,320.470,302.528,287.513,271.297,255.322
2759628,10.309,339.287,246.089,202.690,175.469,157.453,144.209,134.314,120.321,115.100,106.975,98.401,92.437,88.039,83.683,79.721
2759686,9.848,263.609,190.241,157.517,138.328,126.527,116.562,108.693,96.919,92.387,85.141,77.254,71.568,67.302,63.030,59.136
2760102,15.425,15946.331,11715.379,9961.568,8901.771,8117.306,7588.074,7182.821,6605.879,6405.917,6110.975,5854.927,5725.794,5664.849,5629.083,5610.273
2760232,11.126,836.370,786.935,829.768,852.494,820.888,794.706,765.646,693.613,656.686,595.687,525.821,474.762,438.725,406.123,381.677
2760339,15.632,15771.140,11413.890,9626.136,8483.229,7686.927,7107.292,6643.475,5939.437,5664.251,5219.412,4728.914,4376.081,4117.571,3874.183,3673.112
2760710,13.841,3608.259,2769.429,2490.094,2355.813,2346.692,2344.027,2371.373,2480.598,2549.256,2705.684,2889.368,2953.468,2958.872,2961.091,2929.214
