# TESS ROOT MEAN SQUARE (RMS) COMBINED DIFFERENTIAL PHOTOMETRIC PRECISION (CDPP)
# Sector: 1;  Native Cadence: 2-min;  TPS Pipeline Instance: 366
#
# TESS Science Processing Operations Center
# NASA Ames Research Center
#
# Columns:
#     ticid - TIC Identifier (Stassun et al. 2018)
#     tmag - TESS Magnitude (Stassun et al. 2018)
#     rrmscdpp00p5 - Robust RMS CDPP (ppm) at 0.5 hr
#     rrmscdpp01p0 - Robust RMS CDPP (ppm) at 1.0 hr
#     rrmscdpp01p5 - Robust RMS CDPP (ppm) at 1.5 hr
#     rrmscdpp02p0 - Robust RMS CDPP (ppm) at 2.0 hr
#     rrmscdpp02p5 - Robust RMS CDPP (ppm) at 2.5 hr
#     rrmscdpp03p0 - Robust RMS CDPP (ppm) at 3.0 hr
#     rrmscdpp03p5 - Robust RMS CDPP (ppm) at 3.5 hr
#     rrmscdpp04p5 - Robust RMS CDPP (ppm) at 4.5 hr
#     rrmscdpp05p0 - Robust RMS CDPP (ppm) at 5.0 hr
#     rrmscdpp06p0 - Robust RMS CDPP (ppm) at 6.0 hr
#     rrmscdpp07p5 - Robust RMS CDPP (ppm) at 7.5 hr
#     rrmscdpp09p0 - Robust RMS CDPP (ppm) at 9.0 hr
#     rrmscdpp10p5 - Robust RMS CDPP (ppm) at 10.5 hr
#     rrmscdpp12p5 - Robust RMS CDPP (ppm) at 12.5 hr
#     rrmscdpp15p0 - Robust RMS CDPP (ppm) at 15.0 hr
#
# Generated on 04-Apr-2025 14:44:35 (Pacific)
#
ticid, tmag,rrmscdpp00p5,rrmscdpp01p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p5,rrmscdpp15p0
8195886,9.891,289.394,220.420,191.363,174.205,164.352,156.940,151.591,144.765,143.023,141.689,144.069,149.820,157.675,169.302,181.909
8196058,8.276,152.722,134.563,136.781,144.233,155.197,167.166,178.384,189.900,196.488,202.739,215.005,222.810,229.899,237.259,246.674
8196173,9.037,197.771,148.086,129.872,118.900,112.523,107.105,102.964,97.074,95.049,92.330,90.468,90.114,90.746,92.414,95.069
8196285,9.096,193.585,144.851,125.171,112.900,103.892,97.912,93.342,86.654,83.973,79.830,75.062,71.375,68.504,65.633,62.959
8196324,9.442,232.909,175.670,147.794,132.438,124.113,117.151,112.149,105.586,103.522,100.724,98.835,98.590,99.342,101.027,103.344
8196402,9.990,289.840,204.818,172.656,150.182,135.742,124.370,115.308,101.873,97.075,89.318,81.371,75.878,71.724,67.364,63.150
24195569,12.730,2273.999,1727.729,1547.981,1432.816,1367.527,1308.450,1262.073,1188.943,1164.477,1120.205,1073.669,1039.804,1016.365,991.737,968.060
24195690,9.422,232.848,186.223,176.529,171.920,173.261,175.559,178.142,181.555,182.254,186.412,193.341,197.115,199.841,201.041,198.860
24231627,9.660,269.212,215.426,201.682,198.814,202.609,205.062,208.395,214.233,220.676,229.127,244.103,257.594,271.818,290.928,311.967
24265684,7.508,105.226,84.884,76.660,71.815,68.374,66.008,64.338,62.010,61.201,60.077,58.989,58.218,57.868,57.892,58.321
24265755,7.121,93.098,82.110,82.815,85.292,89.872,94.836,99.338,103.736,103.675,105.576,108.445,108.197,107.065,104.213,100.273
24265859,9.579,259.084,224.380,215.006,217.661,221.880,229.664,237.676,251.002,255.407,267.182,281.371,284.285,283.463,282.527,282.641
24292625,11.883,984.953,708.230,592.971,527.235,481.586,449.093,423.549,385.597,371.204,348.512,324.447,307.619,295.517,284.212,274.944
24292848,7.791,124.545,104.806,95.963,92.829,92.536,93.139,94.928,99.651,104.106,110.912,120.388,126.522,131.537,138.837,148.199
24293836,11.505,807.902,597.259,504.984,445.293,402.877,371.247,346.163,308.452,294.061,271.449,247.584,230.840,218.443,206.088,194.862
24672008,12.360,1130.570,800.501,665.113,582.446,525.296,484.332,452.943,407.684,390.371,363.443,334.340,313.422,297.626,281.712,267.265
24693383,9.190,411.941,297.409,248.698,221.940,208.336,195.308,185.475,171.855,167.240,160.677,155.361,152.888,151.549,149.910,147.027
24693528,9.551,360.761,405.586,472.704,518.095,514.168,505.429,502.195,487.310,477.627,459.150,434.357,413.636,394.255,374.678,354.399
24694579,9.327,210.069,153.426,126.559,110.329,100.540,92.763,86.976,78.914,75.974,71.471,66.881,63.869,61.804,59.955,58.526
