# TESS ROOT MEAN SQUARE (RMS) COMBINED DIFFERENTIAL PHOTOMETRIC PRECISION (CDPP)
# Sector: 4;  Native Cadence: 2-min;  TPS Pipeline Instance: 407
#
# TESS Science Processing Operations Center
# NASA Ames Research Center
#
# Columns:
#     ticid - TIC Identifier (Stassun et al. 2018)
#     tmag - TESS Magnitude (Stassun et al. 2018)
#     rrmscdpp00p5 - Robust RMS CDPP (ppm) at 0.5 hr
#     rrmscdpp01p0 - Robust RMS CDPP (ppm) at 1.0 hr
#     rrmscdpp01p5 - Robust RMS CDPP (ppm) at 1.5 hr
#     rrmscdpp02p0 - Robust RMS CDPP (ppm) at 2.0 hr
#     rrmscdpp02p5 - Robust RMS CDPP (ppm) at 2.5 hr
#     rrmscdpp03p0 - Robust RMS CDPP (ppm) at 3.0 hr
#     rrmscdpp03p5 - Robust RMS CDPP (ppm) at 3.5 hr
#     rrmscdpp04p5 - Robust RMS CDPP (ppm) at 4.5 hr
#     rrmscdpp05p0 - Robust RMS CDPP (ppm) at 5.0 hr
#     rrmscdpp06p0 - Robust RMS CDPP (ppm) at 6.0 hr
#     rrmscdpp07p5 - Robust RMS CDPP (ppm) at 7.5 hr
#     rrmscdpp09p0 - Robust RMS CDPP (ppm) at 9.0 hr
#     rrmscdpp10p5 - Robust RMS CDPP (ppm) at 10.5 hr
#     rrmscdpp12p5 - Robust RMS CDPP (ppm) at 12.5 hr
#     rrmscdpp15p0 - Robust RMS CDPP (ppm) at 15.0 hr
#
# Generated on 04-Apr-2025 14:44:56 (Pacific)
#
ticid, tmag,rrmscdpp00p5,rrmscdpp01p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p5,rrmscdpp15p0
1036309,9.877,275.511,202.138,174.759,155.672,143.520,133.963,126.541,115.613,111.585,105.018,97.929,92.754,88.725,84.444,80.138
1045149,9.769,264.118,193.802,160.121,141.320,128.688,119.200,111.843,101.039,97.000,90.530,83.645,78.839,75.373,72.107,69.367
1045151,10.943,466.923,342.489,285.975,251.261,222.952,206.625,194.414,177.226,170.394,160.169,148.839,140.502,134.175,127.732,121.650
1045298,10.686,1066.740,1287.377,1479.979,1633.938,1734.391,1792.174,1881.972,2002.867,2070.090,2170.095,2280.176,2393.915,2596.403,2749.101,2931.677
1045390,10.213,350.789,258.325,216.577,192.166,177.658,166.088,157.430,145.293,141.018,134.542,128.378,124.701,122.499,120.877,119.997
1045529,9.995,302.557,221.177,190.779,171.746,157.843,149.578,143.626,135.877,133.462,130.326,128.483,128.646,130.101,133.121,137.374
1045665,9.510,238.091,174.908,152.969,138.582,129.681,122.906,117.731,110.104,107.253,102.556,97.157,92.841,89.320,85.486,81.463
1045737,12.193,1114.591,827.444,702.399,637.182,584.264,555.965,535.300,507.542,497.773,485.104,474.642,469.285,466.849,465.978,464.803
1046434,10.136,323.856,242.125,207.241,189.188,182.347,173.347,166.329,155.429,151.186,144.014,135.434,128.440,122.801,116.906,111.151
1068962,9.931,292.090,216.608,183.339,161.740,146.146,135.749,127.956,116.952,112.578,106.287,99.679,95.089,91.759,88.565,85.836
1097888,9.228,205.826,150.429,130.061,118.832,111.279,105.420,100.659,93.143,90.077,85.370,80.216,76.308,73.268,70.078,66.987
1098402,8.903,184.754,147.634,137.887,134.168,135.250,138.278,142.391,152.236,158.235,170.922,187.728,195.269,198.802,204.896,214.354
1099199,10.158,312.080,229.980,192.940,170.918,160.087,150.348,143.125,132.923,129.135,122.603,114.600,107.996,102.485,96.446,90.130
1099498,10.855,559.534,458.657,421.208,417.313,429.065,436.451,443.732,452.828,455.526,467.733,492.690,515.086,534.119,564.914,598.226
1099825,9.232,210.519,154.754,131.348,117.621,108.647,101.259,95.386,86.418,82.913,77.164,70.732,66.059,62.666,59.546,57.064
1099837,6.708,220.695,160.233,134.000,124.293,122.461,118.432,113.181,102.116,97.402,89.509,80.856,74.375,69.449,64.589,60.246
1100206,10.962,496.605,371.749,319.618,290.305,269.626,256.255,246.334,232.270,226.920,218.906,210.117,203.604,199.023,195.280,192.736
1111760,13.217,1940.745,1464.622,1257.581,1137.546,1057.732,997.430,950.002,878.428,852.834,810.911,767.449,736.352,712.399,685.657,656.618
1111838,10.254,328.084,243.393,203.039,179.984,163.948,151.738,142.159,128.014,122.960,114.960,107.002,101.699,97.784,93.638,89.479
1111971,11.343,613.347,450.860,374.396,334.507,310.295,291.526,278.017,259.834,253.188,242.363,229.585,219.756,212.505,206.089,201.226
1112323,10.075,345.548,291.089,279.379,276.854,274.026,270.974,265.063,245.853,235.892,218.954,199.592,184.299,172.422,161.055,151.386
1112513,8.189,196.443,211.773,242.398,267.101,273.678,277.485,281.428,277.726,272.266,259.383,238.733,218.187,199.741,179.130,158.932
1112635,9.082,214.225,162.780,141.388,125.541,114.677,107.041,101.087,92.176,88.720,82.968,76.314,71.240,67.323,63.383,59.786
1112740,7.603,120.335,100.018,99.159,102.485,109.137,115.985,122.711,132.017,136.822,144.379,156.384,162.829,166.814,172.014,179.163
1112837,10.121,311.820,226.130,191.919,168.095,155.236,145.190,137.688,127.057,122.982,116.587,109.331,103.826,99.560,95.201,91.034
1112868,8.826,186.246,133.680,115.471,103.211,97.928,92.218,87.572,80.641,78.267,74.956,72.614,71.830,71.526,70.850,69.044
1113193,9.266,255.398,207.751,201.747,201.573,203.711,208.670,213.886,221.655,228.615,237.320,251.450,261.591,270.292,283.615,300.336
1113595,8.300,141.023,104.040,88.326,79.112,72.798,67.955,64.194,58.726,56.689,53.615,50.514,48.358,46.658,44.676,42.419
1114066,8.818,202.641,178.718,183.007,192.155,200.850,210.968,220.523,228.632,231.138,235.198,244.125,249.975,254.821,260.451,266.329
1114115,10.719,433.411,332.817,288.096,259.638,242.746,228.244,216.722,199.218,192.411,181.833,170.606,162.871,157.628,153.363,150.883
1114132,12.811,1772.182,1392.148,1282.302,1228.478,1200.585,1173.358,1144.831,1082.655,1057.263,1016.869,980.789,957.737,943.574,931.681,922.879
1114345,8.335,290.923,232.399,209.214,198.677,195.849,194.121,193.611,194.350,196.276,200.883,210.465,220.464,231.416,247.312,264.823
1114381,10.840,494.236,366.327,317.239,286.723,269.101,255.375,245.000,230.078,224.421,215.573,205.544,197.877,192.224,187.224,183.470
1117070,8.217,145.520,119.064,109.683,104.175,101.297,99.674,99.223,99.860,100.433,102.212,104.023,103.946,103.034,101.458,98.551
1117332,8.712,199.794,171.294,157.843,151.549,148.098,143.924,140.069,132.427,128.880,122.943,115.747,109.611,104.578,99.262,94.133
1117953,9.775,268.994,193.692,166.934,145.988,129.057,119.045,111.738,101.768,97.909,92.328,86.350,81.899,78.185,73.769,68.818
1118180,10.228,319.003,236.107,209.086,189.856,181.178,172.177,165.308,155.248,151.505,145.259,137.938,131.963,127.069,121.764,116.259
1118436,10.047,311.107,235.496,202.498,184.218,179.480,172.806,168.606,164.499,163.756,164.252,167.199,170.975,175.005,179.174,179.879
1118463,7.734,105.467,79.961,70.093,64.317,60.087,57.330,55.425,53.066,52.313,51.260,50.248,49.586,49.272,49.232,49.427
1118593,7.643,130.213,116.853,118.622,125.259,134.730,145.306,155.597,167.051,170.013,176.766,189.162,196.175,198.818,204.354,211.183
1118965,13.284,2452.394,1748.329,1432.802,1252.226,1155.331,1063.874,995.194,899.539,864.397,811.910,759.030,723.523,696.981,668.550,639.495
